Notes for Build_43:
To reproduce this build in R40_Dev, checkout tag For_Build_40, For_Build_41, 
For_Build_42 and then For_Build_43.

In R40_Integration, checkout tag Build_43.

ucs_options.scr fails regress.  I am unable to isolate the submission that 
causes this error.  All other scripts pass when run individually

CHANGED FILES:
M	2004-03-25:07:58	chikahirom	1.14.6.8	IntelliCAD/Source/prj/lib/GR/textgen.cpp
M	2004-03-23:06:46	cyberage	1.7.10.8	IntelliCAD/Source/prj/lib/SDS/sds_misc.cpp
M	2004-03-23:06:47	cyberage	1.33.4.16	IntelliCAD/Source/prj/lib/DB/db1.cpp
M	2004-03-23:06:48	cyberage	1.1.1.1.12.2	IntelliCAD/Source/ThirdParty/DCL_Components/Include/EditBox.h
M	2004-03-23:06:59	cyberage	1.7.10.9	IntelliCAD/Source/prj/lib/SDS/sds_misc.cpp
M	2004-03-23:06:59	cyberage	1.18.6.10	IntelliCAD/Source/prj/ICAD/icadmain.cpp
M	2004-03-23:06:59	cyberage	1.3.10.3	IntelliCAD/Source/prj/ICAD/IcadHelp.h
M	2004-03-23:07:06	cyberage	1.22.6.10	IntelliCAD/Source/prj/lib/CMDS/insert.cpp
M	2004-03-23:07:06	cyberage	1.10.6.1	IntelliCAD/Source/prj/lib/CMDS/cmdsError.cpp
M	2004-03-23:07:06	cyberage	1.59.4.44	IntelliCAD/Source/prj/ICAD/res/icadrc2.h
M	2004-03-23:07:06	cyberage	1.63.4.55	IntelliCAD/Eng-us/icad.rc2
M	2004-03-23:07:14	cyberage	1.7.6.6	IntelliCAD/Source/prj/lib/CMDS/Leader.cpp
M	2004-03-23:07:21	cyberage	1.28.4.32	IntelliCAD/Eng-us/IcadRes.rc
A	2004-03-23:09:24	cyberage	1.1.2.1	IntelliCAD/Source/SubDoc/CYB_78733_1.txt
A	2004-03-23:09:24	cyberage	1.1.2.1	IntelliCAD/Source/SubDoc/CYB_78732_1.txt
A	2004-03-23:09:24	cyberage	1.1.2.1	IntelliCAD/Source/SubDoc/CYB_78730_1.txt
A	2004-03-23:09:24	cyberage	1.1.2.1	IntelliCAD/Source/SubDoc/CYB_78727_1.txt
A	2004-03-23:09:24	cyberage	1.1.2.1	IntelliCAD/Source/SubDoc/CYB_78725_1.txt
A	2004-03-23:09:24	cyberage	1.1.2.1	IntelliCAD/Source/SubDoc/CYB_78722_1.txt
A	2004-03-23:09:24	cyberage	1.1.2.1	IntelliCAD/Source/SubDoc/CYB_78705_2.txt
A	2004-03-23:09:36	cyberage	1.1.2.1	IntelliCAD/Source/Regress/scripts/viewdir_one.scr
A	2004-03-23:09:36	cyberage	1.1.2.1	IntelliCAD/Source/Regress/scripts/svstrt.scr
A	2004-03-23:09:36	cyberage	1.1.2.1	IntelliCAD/Source/Regress/scripts/layercolor.scr
A	2004-03-23:09:36	cyberage	1.1.2.1	IntelliCAD/Source/Regress/scripts/frontz_backz.scr
A	2004-03-23:09:36	cyberage	1.1.2.1	IntelliCAD/Source/Regress/scripts/ellipse_vpoint.scr
A	2004-03-23:09:36	cyberage	1.1.2.1	IntelliCAD/Source/Regress/scripts/different_layer.scr
A	2004-03-23:09:36	cyberage	1.1.2.1	IntelliCAD/Source/Regress/scripts/backz_vpoint.scr
A	2004-03-23:09:36	cyberage	1.1.2.1	IntelliCAD/Source/Regress/scripts/annoation.scr
A	2004-03-23:09:36	cyberage	1.1.2.1	IntelliCAD/Source/Regress/scripts/78730.scr
A	2004-03-23:09:36	cyberage	1.1.2.1	IntelliCAD/Source/Regress/acis/view_vpoint.scr
A	2004-03-23:09:36	cyberage	1.1.2.1	IntelliCAD/Source/Regress/acis/dview_vpoint.scr
A	2004-03-23:09:36	cyberage	1.1.2.1	IntelliCAD/Source/Regress/acis/78333.scr
A	2004-03-23:09:36	cyberage	1.1.2.1	IntelliCAD/Source/Regress/LISP/svstrt.lsp
A	2004-03-23:09:36	cyberage	1.1.2.1	IntelliCAD/Source/Regress/SDS/78727.dll
A	2004-03-23:09:36	cyberage	1.1.2.1	IntelliCAD/Source/Regress/SDS/78722.dll
M	2004-02-29:11:02	denisp	1.1.2.2	IntelliCAD/Source/prj/ICAD/LayoutTabs.h
M	2004-02-29:11:02	denisp	1.1.2.2	IntelliCAD/Source/prj/ICAD/LayoutTabs.cpp
A	2004-02-29:11:04	denisp	1.1.2.1	IntelliCAD/Source/SubDoc/DP_LayoutTabs.doc
M	2004-03-08:08:32	denisp	1.7.6.10	IntelliCAD/Source/prj/lib/SDS/sds_vars.cpp
M	2004-03-08:08:33	denisp	1.9.4.6	IntelliCAD/Source/prj/ICAD/IcadStatusBar.cpp
M	2004-03-08:08:33	denisp	1.3.6.9	IntelliCAD/Source/prj/ICAD/IcadPMSpaceDia.cpp
M	2004-03-08:08:33	denisp	1.15.6.27	IntelliCAD/Source/prj/ICAD/icadentityrenderer.cpp
M	2004-03-08:08:33	denisp	1.28.6.26	IntelliCAD/Source/prj/ICAD/IcadApp.cpp
M	2004-03-08:08:33	denisp	1.15.6.12	IntelliCAD/Source/prj/ICAD/Change.cpp
M	2004-03-08:08:36	denisp	1.59.4.42	IntelliCAD/Source/prj/ICAD/res/icadrc2.h
M	2004-03-08:08:36	denisp	1.1.2.18	IntelliCAD/Source/prj/lib/CMDS/cmdsLayout.cpp
M	2004-03-08:08:39	denisp	1.15.6.9	IntelliCAD/Source/prj/lib/DB/oldvars.cpp
M	2004-03-08:08:39	denisp	1.4.6.2	IntelliCAD/Source/prj/lib/DB/layertabrec.h
M	2004-03-08:08:39	denisp	1.4.6.2	IntelliCAD/Source/prj/lib/DB/layertabrec.cpp
M	2004-03-08:08:39	denisp	1.17.6.13	IntelliCAD/Source/prj/lib/DB/handitem.cpp
M	2004-03-08:08:39	denisp	1.3.6.6	IntelliCAD/Source/prj/lib/DB/entity.h
M	2004-03-08:08:39	denisp	1.4.6.4	IntelliCAD/Source/prj/lib/DB/entity.cpp
M	2004-03-08:08:39	denisp	1.5.6.6	IntelliCAD/Source/prj/lib/DB/dbprotos.h
M	2004-03-08:08:39	denisp	1.22.4.13	IntelliCAD/Source/prj/lib/DB/dbdefines.h
M	2004-03-08:08:39	denisp	1.13.4.17	IntelliCAD/Source/prj/lib/DB/db_util.cpp
M	2004-03-08:08:39	denisp	1.33.4.15	IntelliCAD/Source/prj/lib/DB/db1.cpp
M	2004-03-08:08:42	denisp	1.47.4.32	IntelliCAD/Source/prj/lib/DRW/dwgsave.cpp
M	2004-03-08:08:42	denisp	1.48.4.50	IntelliCAD/Source/prj/lib/DRW/dwgload.cpp
M	2004-03-08:08:42	denisp	1.21.6.19	IntelliCAD/Source/prj/lib/GR/dispobjs.cpp
M	2004-03-08:08:46	denisp	1.1.2.17	IntelliCAD/Source/prj/lib/DRW/DWGdirectWriter.cpp
M	2004-03-08:17:18	denisp	1.7.6.11	IntelliCAD/Source/prj/lib/SDS/sds_vars.cpp
M	2004-03-08:17:19	denisp	1.1.2.6	IntelliCAD/Source/prj/lib/CMDS/cmdsLayout.h
M	2004-03-08:17:19	denisp	1.1.2.19	IntelliCAD/Source/prj/lib/CMDS/cmdsLayout.cpp
